Latitude (average),Longitude (average),"Cummulative installed PV capacity (Wp per capita), 2018"
12.5,-69.9667,57.6314422032217
33.0,65.0,0.591837177199225
-12.5,18.5,0.43492708577236
41.0,20.0,0.348872583359615
42.5,1.6,0.0
24.0,54.0,51.2410031025986
-34.0,-64.0,4.2994075987186
40.0,45.0,5.86087833223117
-14.3333,-170.0,75.723429189579
17.05,-61.8,82.0472342812039
-27.0,133.0,390.64323994256
47.3333,13.3333,161.749069208143
40.5,47.5,3.66111216943627
-3.5,30.0,0.456360402305855
50.8333,4.0,352.440556298562
9.5,2.25,0.69655782021982
13.0,-2.0,3.12887074346374
24.0,90.0,1.24631220031374
43.0,25.0,147.432823819769
26.0,50.55,3.18585175976894
24.25,-76.0,3.37101960377554
44.0,18.0,5.71612690884793
53.0,28.0,16.2671292449248
17.25,-88.75,10.9640249457672
32.3333,-64.75,0.0
-17.0,-65.0,6.25377538658461
-17.0,-65.0,6.25377538658461
-10.0,-55.0,10.9610317038628
13.1667,-59.5333,83.7284268475201
4.5,114.6667,2.79745059002895
4.5,114.6667,2.79745059002895
27.5,90.5,0.662783638257993
-22.0,24.0,1.28652967935244
7.0,21.0,0.064289704839536
60.0,-95.0,84.001513700261
47.0,8.0,263.722028996977
-30.0,-71.0,114.100151848775
35.0,105.0,125.66534791381
8.0,-5.0,0.331083177707619
8.0,-5.0,0.331083177707619
6.0,12.0,0.563129225030682
0.0,25.0,0.080886813523576
-1.0,15.0,0.114408556387115
4.0,-72.0,1.74224151153248
-12.1667,44.25,0.0
16.0,-24.0,13.7926722290981
10.0,-84.0,5.60062615000357
21.5,-80.0,8.48463830657203
19.5,-80.5,154.268083647583
35.0,33.0,95.0166699600173
49.75,15.5,195.516622677387
51.0,9.0,553.854466532997
11.5,43.0,0.31285195845326
15.4167,-61.3333,8.37696335078534
56.0,10.0,172.14476857568
19.0,-70.6667,15.6485760783803
28.0,3.0,9.70909905267847
-2.0,-77.5,1.49844679551007
27.0,30.0,7.62012401599434
15.0,39.0,0.603351955307263
40.0,-4.0,101.526527762145
59.0,26.0,8.3277562602015
8.0,38.0,0.10070995113837
-18.0,175.0,10.7528950755136
46.0,2.0,141.570236864798
6.9167,158.25,15.9801136363636
-1.0,11.75,0.660603272345496
54.0,-2.0,197.145419156684
42.0,43.5,0.0
8.0,-2.0,2.13658646315255
11.0,-10.0,1.07939880386502
13.4667,-16.5667,0.964869115504482
12.0,-15.0,0.640235948288143
2.0,10.0,0.0
39.0,22.0,247.164621425644
12.1167,-61.6667,21.5335474724999
15.5,-90.25,6.58054673269477
13.4667,144.7833,209.931953091067
5.0,-59.0,13.0936426513856
22.25,114.1667,0.0
15.0,-86.5,53.8199547286567
45.1667,15.5,14.916613684159
19.0,-72.4167,0.233746189038095
47.0,20.0,68.0739723517305
-5.0,120.0,0.225282919200376
54.23,-4.55,
20.0,77.0,19.8645244621619
53.0,-8.0,5.91325116317977
32.0,53.0,3.50121098012526
33.0,44.0,0.949689854710462
31.5,34.75,120.443954163759
42.8333,12.8333,332.940142938881
18.25,-77.5,18.9106446485431
31.0,36.0,77.4908746083145
36.0,138.0,438.634274645121
48.0,68.0,11.435450520365
1.0,38.0,1.79985566130491
41.0,75.0,0.0
13.0,105.0,1.74771403312213
1.4167,173.0,25.0330176871218
17.3333,-62.75,36.2311931503976
37.0,127.5,152.2583716831
37.0,127.5,152.2583716831
29.3375,47.6581,7.37194152044239
18.0,105.0,0.94880597017039
33.8333,35.8333,6.088546742737
6.5,-9.5,0.539533598105988
25.0,17.0,0.763636870005197
25.0,17.0,0.763636870005197
13.8833,-61.1333,20.8918626195097
47.1667,9.5333,0.0
7.0,81.0,7.34194739270881
-29.5,28.5,0.189741439340611
56.0,24.0,30.0408706403545
49.75,6.1667,220.49337861675
57.0,25.0,0.622877674091715
22.1667,113.55,0.0
32.0,-5.0,5.70371680832331
47.0,29.0,0.564034402714359
-20.0,47.0,1.25655081826589
3.25,73.0,18.2277931184264
23.0,-102.0,20.1361766597416
9.0,168.0,
41.8333,22.0,9.88978174307883
17.0,-4.0,1.02737805258393
35.8333,14.5833,263.272185800261
22.0,98.0,1.02218656878501
22.0,98.0,1.02218656878501
42.0,19.0,5.46320770633652
46.0,105.0,19.7778820821851
15.2,145.75,0.0
-18.25,35.0,0.576350078020849
20.0,-12.0,19.5534323086744
-20.2833,57.55,23.7097359288645
-13.5,34.0,1.25114952807687
2.5,112.5,13.8858118751603
-22.0,17.0,32.1861897555606
-21.5,165.5,115.468562979652
16.0,8.0,0.891148524694706
10.0,8.0,0.097511297270899
13.0,-85.0,4.68640307428042
52.5,5.75,240.844751067218
62.0,10.0,12.8708459532856
28.0,84.0,1.89761623442375
-0.5333,166.9167,55.1007556675063
-41.0,174.0,16.2112373349708
21.0,57.0,1.6979043098402
30.0,70.0,7.38920330006786
9.0,-80.0,35.1219680368544
-10.0,-76.0,10.7879970700163
13.0,122.0,8.31114886049592
7.5,134.5,72.597308315184
-6.0,147.0,0.174290602390152
52.0,20.0,12.8098630837598
18.25,-66.5,51.7033143639757
40.0,127.0,0.418789659527529
39.5,-8.0,65.1833800471164
-23.0,-58.0,0.0
32.0,35.25,
-15.0,-140.0,122.443540923152
25.5,51.25,1.83342638271805
46.0,25.0,70.7150316196993
60.0,100.0,3.7770443330319
60.0,100.0,3.7770443330319
-2.0,30.0,2.46302635706452
25.0,45.0,2.64985579947648
15.0,30.0,0.421037190191087
14.0,-14.0,8.45193372674772
1.3667,103.8,26.6019895450634
-8.0,159.0,3.8293166354705
8.5,-11.5,0.549008555906195
13.8333,-88.9167,28.6882641637792
43.7667,12.4167,0.0
10.0,49.0,0.473076169127795
44.0,21.0,1.43223713722149
8.0,30.0,0.04555426788825
1.0,7.0,0.473870765964706
4.0,-56.0,11.9793538440705
48.6667,19.5,97.4846571817094
46.0,15.0,123.73196502613
62.0,15.0,41.3427050011416
-26.5,31.5,0.792120338921889
-4.5833,55.6667,36.171224240921
35.0,38.0,0.082809450190796
21.75,-71.5833,10.6199389353511
15.0,19.0,0.012921773970908
8.0,1.1667,0.380271803073965
15.0,100.0,39.1798621557906
39.0,71.0,0.0
40.0,60.0,0.0
-8.55,125.5167,0.47319656900941
-20.0,-175.0,60.0792658701319
11.0,-61.0,2.37434327823418
34.0,9.0,4.07256110657451
39.0,35.0,61.5028787025574
-8.0,178.0,
-6.0,35.0,0.451007547309449
1.0,32.0,1.12351295161154
49.0,32.0,44.8809296185809
-33.0,-56.0,71.9566497424549
38.0,-97.0,151.885532714726
41.0,64.0,0.118341758861977
13.25,-61.2,11.7956628255149
13.25,-61.2,11.7956628255149
13.25,-61.2,11.7956628255149
8.0,-66.0,0.13855119440655
8.0,-66.0,0.13855119440655
18.5,-64.5,6.71095899604053
18.3333,-64.8333,46.7390186675641
16.0,106.0,1.113665062825
16.0,106.0,1.113665062825
-16.0,167.0,9.22509225092251
-13.5833,-172.3333,68.8318972110335
15.0,48.0,5.26340038051578
-29.0,24.0,44.2855095175251
-15.0,30.0,0.28815417769961
-20.0,30.0,0.734121946520186
